ticker,tier,subsector,directional,companyName,marketCap,sector,industry,price,beta,averageVolume,country,exchange
NVR,1,Homebuilders,Long,"NVR, Inc.",17554995842,Consumer Cyclical,Residential Construction,6319.02,1.072,25385,US,NYSE
DHI,1,Homebuilders,Long,"D.R. Horton, Inc.",43645797800,Consumer Cyclical,Residential Construction,153.91,1.445,2821763,US,NYSE
LEN,1,Homebuilders,Long,Lennar Corporation,22862674342,Consumer Cyclical,Residential Construction,90.305,1.487,2985916,US,NYSE
PHM,1,Homebuilders,Long,"PulteGroup, Inc.",23306005290,Consumer Cyclical,Residential Construction,122.35,1.341,1988838,US,NYSE
TOL,1,Homebuilders,Long,"Toll Brothers, Inc.",13453129350,Consumer Cyclical,Residential Construction,142.05,1.485,1253334,US,NYSE
KBH,1,Homebuilders,Long,KB Home,3316861000,Consumer Cyclical,Residential Construction,52.985,1.502,1164714,US,NYSE
MTH,1,Homebuilders,Long,Meritage Homes Corporation,4499692390,Consumer Cyclical,Residential Construction,67.36,1.507,1006995,US,NYSE
TMHC,1,Homebuilders,Long,Taylor Morrison Home Corporation,5674798498,Consumer Cyclical,Residential Construction,60.74,1.581,1526515,US,NYSE
GRBK,1,Homebuilders,Long,"Green Brick Partners, Inc.",2912686177,Consumer Cyclical,Residential Construction,67.49,1.992,217263,US,NYSE
MHO,1,Homebuilders,Long,"M/I Homes, Inc.",3387938511,Consumer Cyclical,Residential Construction,131.48,1.767,288009,US,NYSE
SKY,1,Homebuilders,Long,"Champion Homes, Inc.",4258356281,Consumer Cyclical,Residential Construction,76.235,1.114,651001,US,NYSE
CCS,1,Homebuilders,Long,"Century Communities, Inc.",1611081136,Consumer Cyclical,Residential Construction,56.0,1.559,270903,US,NYSE
LGIH,1,Homebuilders,Long,"LGI Homes, Inc.",1132827907,Consumer Cyclical,Residential Construction,48.97,1.857,490578,US,NASDAQ
RKT,1,Mortgage Originators,Long,"Rocket Companies, Inc.",41272967299,Financial Services,Financial - Mortgages,14.615,2.357,28629372,US,NYSE
UWMC,1,Mortgage Originators,Long,UWM Holdings Corporation,5366094482,Financial Services,Financial - Mortgages,3.54,1.975,17546791,US,NYSE
PFSI,1,Mortgage Originators,Long,"PennyMac Financial Services, Inc.",4708665628,Financial Services,Financial - Mortgages,90.26,1.518,889375,US,NYSE
