ticker,fiscal_period,period_end_date,accession_no,segment,metric_name,metric_value,metric_unit,source_label
DHI,Q2 FY2026,2026-04-21,0000882184-26-000062,consolidated,net_orders_units,24992.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218426000062/a3312026exhibit991.htm
DHI,Q2 FY2026,2026-04-21,0000882184-26-000062,consolidated,cancellation_rate_pct,16.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218426000062/a3312026exhibit991.htm
DHI,Q2 FY2026,2026-04-21,0000882184-26-000062,consolidated,backlog_units,16882.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218426000062/a3312026exhibit991.htm
DHI,Q2 FY2026,2026-04-21,0000882184-26-000062,consolidated,closings_units,19486.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218426000062/a3312026exhibit991.htm
DHI,Q2 FY2026,2026-04-21,0000882184-26-000062,consolidated,asp_dollars,361000.0,usd,https://www.sec.gov/Archives/edgar/data/882184/000088218426000062/a3312026exhibit991.htm
DHI,Q2 FY2026,2026-04-21,0000882184-26-000062,consolidated,gross_margin_pct,21.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218426000062/a3312026exhibit991.htm
DHI,Q1 FY2026,2026-01-20,0000882184-26-000007,consolidated,net_orders_units,18300.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218426000007/a12312025exhibit991.htm
DHI,Q1 FY2026,2026-01-20,0000882184-26-000007,consolidated,cancellation_rate_pct,18.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218426000007/a12312025exhibit991.htm
DHI,Q1 FY2026,2026-01-20,0000882184-26-000007,consolidated,backlog_units,11376.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218426000007/a12312025exhibit991.htm
DHI,Q1 FY2026,2026-01-20,0000882184-26-000007,consolidated,closings_units,17818.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218426000007/a12312025exhibit991.htm
DHI,Q1 FY2026,2026-01-20,0000882184-26-000007,consolidated,asp_dollars,366000.0,usd,https://www.sec.gov/Archives/edgar/data/882184/000088218426000007/a12312025exhibit991.htm
DHI,Q1 FY2026,2026-01-20,0000882184-26-000007,consolidated,gross_margin_pct,21.3,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218426000007/a12312025exhibit991.htm
DHI,Q4 FY2025,2025-10-28,0000882184-25-000044,consolidated,net_orders_units,20078.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000044/a9302025exhibit991.htm
DHI,Q4 FY2025,2025-10-28,0000882184-25-000044,consolidated,cancellation_rate_pct,20.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000044/a9302025exhibit991.htm
DHI,Q4 FY2025,2025-10-28,0000882184-25-000044,consolidated,backlog_units,10785.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000044/a9302025exhibit991.htm
DHI,Q4 FY2025,2025-10-28,0000882184-25-000044,consolidated,closings_units,23368.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000044/a9302025exhibit991.htm
DHI,Q4 FY2025,2025-10-28,0000882184-25-000044,consolidated,asp_dollars,366000.0,usd,https://www.sec.gov/Archives/edgar/data/882184/000088218425000044/a9302025exhibit991.htm
DHI,Q4 FY2025,2025-10-28,0000882184-25-000044,consolidated,gross_margin_pct,20.8,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000044/a9302025exhibit991.htm
DHI,Q3 FY2025,2025-07-22,0000882184-25-000036,consolidated,net_orders_units,23071.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000036/a6302025exhibit991.htm
DHI,Q3 FY2025,2025-07-22,0000882184-25-000036,consolidated,cancellation_rate_pct,17.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000036/a6302025exhibit991.htm
DHI,Q3 FY2025,2025-07-22,0000882184-25-000036,consolidated,backlog_units,14075.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000036/a6302025exhibit991.htm
DHI,Q3 FY2025,2025-07-22,0000882184-25-000036,consolidated,closings_units,23160.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000036/a6302025exhibit991.htm
DHI,Q3 FY2025,2025-07-22,0000882184-25-000036,consolidated,asp_dollars,370000.0,usd,https://www.sec.gov/Archives/edgar/data/882184/000088218425000036/a6302025exhibit991.htm
DHI,Q3 FY2025,2025-07-22,0000882184-25-000036,consolidated,gross_margin_pct,21.8,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000036/a6302025exhibit991.htm
DHI,Q2 FY2025,2025-04-17,0000882184-25-000018,consolidated,net_orders_units,22437.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000018/a3312025exhibit991.htm
DHI,Q2 FY2025,2025-04-17,0000882184-25-000018,consolidated,cancellation_rate_pct,16.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000018/a3312025exhibit991.htm
DHI,Q2 FY2025,2025-04-17,0000882184-25-000018,consolidated,backlog_units,14164.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000018/a3312025exhibit991.htm
DHI,Q2 FY2025,2025-04-17,0000882184-25-000018,consolidated,closings_units,19276.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000018/a3312025exhibit991.htm
